Customer_ID,Age,Gender,Location,Channel,Marketing_Exposure,Flavor,Pack_Size,Price_Per_Unit,Order_Date,Units_Purchased,Total_Bill_Value,Discount_Used,Customer_Rating,Repeat_Purchase,Time_to_Reorder,Month,Promotion_Campaign,Avg_Order_Value,Customer_Segment
C0001,27,Male,Chennai,Retail,Social Media,Margarita,4-Pack,350,26-04-2025,4,1400,No,3,No,0,Apr,Yes,350,Millennial
C0002,28,Female,Chennai,Retail,Social Media,Whisky Sour,12-Pack,400,18-02-2025,12,4800,Yes,3,Yes,0,Feb,No,400,Millennial
C0003,32,Female,Kolkata,Online,Email,Long Island,Single,250,16-01-2025,1,250,Yes,5,Yes,0,Jan,Yes,250,Millennial
C0004,43,Female,Ahmedabad,Retail,Social Media,Margarita,12-Pack,400,20-03-2025,12,4800,No,3,No,0,Mar,No,400,Gen X
C0005,29,Male,Chennai,Online,Social Media,Margarita,Single,250,27-05-2025,1,250,No,4,No,0,May,Yes,250,Millennial
C0006,37,Female,Ahmedabad,Online,Email,Cosmopolitan,Single,250,26-03-2025,1,250,No,4,Yes,0,Mar,No,250,Gen X
C0007,30,Male,Chennai,Retail,Email,Gin Fizz,12-Pack,400,04-05-2025,12,4800,Yes,3,No,0,May,Yes,400,Millennial
C0008,38,Female,Pune,Online,Email,Rum Punch,12-Pack,400,07-02-2025,12,4800,Yes,4,Yes,13,Feb,No,400,Gen X
C0009,32,Male,Ahmedabad,Online,Social Media,Whisky Sour,Single,250,31-01-2025,1,250,No,5,No,0,Jan,No,250,Millennial
C0010,29,Female,Delhi,Retail,None,Mojito,4-Pack,350,30-12-2024,4,1400,No,4,No,0,Dec,No,350,Millennial
C0011,42,Female,Chennai,Retail,Social Media,Rum Punch,Single,250,31-12-2024,1,250,No,5,Yes,20,Dec,Yes,250,Gen X
C0012,35,Female,Delhi,Online,Social Media,Mojito,Single,250,24-06-2025,1,250,Yes,4,Yes,0,Jun,Yes,250,Millennial
C0013,27,Female,Ahmedabad,Online,Email,Rum Punch,Single,250,03-03-2025,1,250,Yes,4,Yes,0,Mar,No,250,Millennial
C0014,41,Female,Mumbai,Retail,None,Cosmopolitan,Single,250,11-04-2025,1,250,No,4,No,0,Apr,No,250,Gen X
C0015,27,Male,Kolkata,Retail,Social Media,Margarita,4-Pack,350,24-02-2025,4,1400,No,4,Yes,0,Feb,Yes,350,Millennial
C0016,39,Male,Bangalore,Online,Social Media,Long Island,Single,250,11-06-2025,1,250,Yes,4,Yes,0,Jun,No,250,Gen X
C0017,27,Female,Kolkata,Online,Social Media,Gin Fizz,Single,250,12-02-2025,1,250,Yes,4,Yes,28,Feb,Yes,250,Millennial
C0018,21,Female,Mumbai,Retail,Email,Margarita,4-Pack,350,21-03-2025,4,1400,No,4,Yes,30,Mar,Yes,350,Gen Z
C0019,26,Female,Chennai,Online,Email,Mojito,4-Pack,350,13-01-2025,4,1400,Yes,5,Yes,0,Jan,Yes,350,Millennial
C0020,40,Female,Mumbai,Online,Social Media,Cosmopolitan,4-Pack,350,19-04-2025,4,1400,Yes,3,No,0,Apr,Yes,350,Gen X
C0021,27,Male,Ahmedabad,Retail,Social Media,Long Island,Single,250,09-05-2025,1,250,Yes,5,No,0,May,Yes,250,Millennial
C0022,36,Male,Hyderabad,Retail,Email,Mojito,4-Pack,350,08-05-2025,4,1400,Yes,5,No,0,May,No,350,Gen X
C0023,29,Female,Kolkata,Online,Email,Rum Punch,12-Pack,400,20-01-2025,24,9600,No,5,No,0,Jan,No,400,Millennial
C0024,24,Male,Chennai,Retail,Email,Gin Fizz,Single,250,04-02-2025,1,250,Yes,4,Yes,0,Feb,No,250,Gen Z
C0025,23,Male,Mumbai,Retail,Social Media,Mojito,4-Pack,350,31-12-2024,4,1400,Yes,5,No,0,Dec,No,350,Gen Z
C0026,37,Female,Pune,Online,Email,Rum Punch,4-Pack,350,28-03-2025,4,1400,Yes,4,No,0,Mar,No,350,Gen X
C0027,28,Female,Kolkata,Retail,Email,Long Island,4-Pack,350,27-05-2025,4,1400,No,3,No,0,May,Yes,350,Millennial
C0028,23,Male,Pune,Retail,Social Media,Rum Punch,12-Pack,400,15-03-2025,12,4800,Yes,5,No,0,Mar,No,400,Gen Z
C0029,37,Female,Ahmedabad,Online,Email,Cosmopolitan,12-Pack,400,22-01-2025,12,4800,Yes,3,Yes,0,Jan,Yes,400,Gen X
C0030,30,Female,Kolkata,Retail,Email,Long Island,4-Pack,350,14-06-2025,4,1400,No,5,Yes,0,Jun,Yes,350,Millennial
C0031,28,Male,Ahmedabad,Retail,Email,Whisky Sour,Single,250,04-04-2025,1,250,Yes,5,No,0,Apr,No,250,Millennial
C0032,33,Female,Hyderabad,Online,Social Media,Margarita,4-Pack,350,19-03-2025,4,1400,Yes,4,Yes,25,Mar,Yes,350,Millennial
C0033,22,Female,Ahmedabad,Online,Email,Cosmopolitan,Single,250,21-04-2025,1,250,No,4,Yes,28,Apr,Yes,250,Gen Z
C0034,26,Male,Mumbai,Online,Email,Gin Fizz,Single,250,02-06-2025,1,250,No,4,No,0,Jun,No,250,Millennial
C0035,26,Male,Ahmedabad,Online,Email,Whisky Sour,4-Pack,350,04-06-2025,4,1400,No,5,Yes,25,Jun,Yes,350,Millennial
C0036,39,Male,Bangalore,Online,Social Media,Margarita,Single,250,15-05-2025,1,250,No,5,No,0,May,No,250,Gen X
C0037,21,Female,Chennai,Online,Social Media,Whisky Sour,Single,250,06-01-2025,1,250,Yes,5,No,0,Jan,No,250,Gen Z
C0038,25,Female,Bangalore,Retail,Social Media,Cosmopolitan,Single,250,17-04-2025,1,250,No,5,Yes,0,Apr,Yes,250,Gen Z
C0039,37,Female,Delhi,Online,None,Long Island,Single,250,03-03-2025,1,250,Yes,5,No,0,Mar,Yes,250,Gen X
C0040,25,Female,Ahmedabad,Online,Email,Rum Punch,4-Pack,350,13-01-2025,4,1400,No,4,Yes,0,Jan,No,350,Gen Z
C0041,24,Male,Hyderabad,Retail,None,Whisky Sour,12-Pack,400,28-12-2024,24,9600,No,5,No,0,Dec,No,400,Gen Z
C0042,21,Male,Mumbai,Online,Email,Long Island,12-Pack,400,29-05-2025,12,4800,No,5,Yes,0,May,Yes,400,Gen Z
C0043,22,Male,Hyderabad,Online,Email,Rum Punch,Single,250,10-02-2025,1,250,No,4,No,0,Feb,Yes,250,Gen Z
C0044,39,Female,Hyderabad,Online,Social Media,Long Island,4-Pack,350,23-05-2025,4,1400,No,5,No,0,May,Yes,350,Gen X
C0045,30,Female,Kolkata,Online,Email,Whisky Sour,4-Pack,350,28-06-2025,4,1400,Yes,4,Yes,0,Jun,No,350,Millennial
C0046,32,Male,Kolkata,Online,Email,Rum Punch,4-Pack,350,15-02-2025,4,1400,No,4,No,0,Feb,Yes,350,Millennial
C0047,39,Male,Pune,Online,Social Media,Long Island,12-Pack,400,14-01-2025,12,4800,Yes,5,No,0,Jan,No,400,Gen X
C0048,35,Female,Pune,Online,Social Media,Rum Punch,4-Pack,350,27-06-2025,4,1400,Yes,5,No,0,Jun,Yes,350,Millennial
C0049,41,Female,Delhi,Online,Social Media,Margarita,4-Pack,350,01-02-2025,4,1400,No,4,Yes,18,Feb,No,350,Gen X
C0050,32,Female,Pune,Retail,None,Margarita,4-Pack,350,28-02-2025,4,1400,No,5,Yes,0,Feb,No,350,Millennial
C0051,36,Male,Mumbai,Retail,None,Whisky Sour,Single,250,28-05-2025,1,250,No,4,Yes,25,May,Yes,250,Gen X
C0052,27,Female,Mumbai,Online,None,Whisky Sour,Single,250,03-05-2025,1,250,No,3,No,0,May,Yes,250,Millennial
C0053,28,Male,Kolkata,Online,Email,Gin Fizz,4-Pack,350,15-06-2025,4,1400,No,4,Yes,30,Jun,Yes,350,Millennial
C0054,26,Male,Delhi,Retail,None,Gin Fizz,4-Pack,350,13-04-2025,4,1400,Yes,5,No,0,Apr,Yes,350,Millennial
C0055,39,Female,Bangalore,Retail,Email,Whisky Sour,4-Pack,350,07-03-2025,4,1400,No,4,Yes,22,Mar,Yes,350,Gen X
C0056,32,Male,Bangalore,Retail,Social Media,Cosmopolitan,Single,250,14-04-2025,1,250,Yes,4,Yes,0,Apr,Yes,250,Millennial
C0057,38,Male,Pune,Online,Social Media,Long Island,Single,250,01-04-2025,1,250,No,3,Yes,0,Apr,No,250,Gen X
C0058,36,Male,Kolkata,Online,None,Rum Punch,12-Pack,400,09-04-2025,24,9600,No,4,Yes,0,Apr,No,400,Gen X
C0059,33,Female,Mumbai,Online,Social Media,Mojito,4-Pack,350,05-04-2025,4,1400,No,4,No,0,Apr,Yes,350,Millennial
C0060,37,Male,Bangalore,Retail,Social Media,Margarita,4-Pack,350,02-06-2025,4,1400,Yes,5,No,0,Jun,No,350,Gen X
C0061,26,Female,Chennai,Retail,Email,Whisky Sour,4-Pack,350,03-06-2025,4,1400,No,4,Yes,7,Jun,Yes,350,Millennial
C0062,24,Male,Delhi,Online,Email,Whisky Sour,4-Pack,350,03-03-2025,4,1400,Yes,4,Yes,28,Mar,No,350,Gen Z
C0063,32,Male,Mumbai,Retail,None,Margarita,Single,250,13-02-2025,1,250,No,4,Yes,29,Feb,No,250,Millennial
C0064,34,Male,Chennai,Retail,Social Media,Margarita,Single,250,29-05-2025,1,250,Yes,4,Yes,21,May,Yes,250,Millennial
C0065,22,Female,Chennai,Online,Email,Whisky Sour,4-Pack,350,10-04-2025,4,1400,No,5,No,0,Apr,Yes,350,Gen Z
C0066,44,Male,Mumbai,Retail,Email,Margarita,Single,250,20-02-2025,1,250,Yes,4,Yes,17,Feb,Yes,250,Gen X
C0067,39,Male,Chennai,Online,Social Media,Long Island,4-Pack,350,22-01-2025,4,1400,No,3,No,0,Jan,No,350,Gen X
C0068,23,Male,Delhi,Online,None,Whisky Sour,4-Pack,350,11-02-2025,4,1400,No,4,Yes,28,Feb,No,350,Gen Z
C0069,25,Female,Bangalore,Online,Social Media,Rum Punch,Single,250,24-03-2025,1,250,No,4,Yes,21,Mar,No,250,Gen Z
C0070,44,Male,Delhi,Retail,None,Cosmopolitan,Single,250,24-01-2025,1,250,Yes,5,No,0,Jan,Yes,250,Gen X
C0071,35,Male,Delhi,Online,None,Margarita,Single,250,02-01-2025,1,250,No,4,No,0,Jan,Yes,250,Millennial
